class_iri,class_label,parent_iri,parent_label,skos:definition,skos:example
https://neurosymbols.ai/ontology/causal-terminology.owl#ApertureAreaRatio,aperture area ratio,https://neurosymbols.ai/ontology/causal-terminology.owl#ParameterQuality,ParameterQuality,A quality parameter describing 'aperture area ratio' as a measurable attribute relevant to solder printing or reflow.,Example: Measured 'aperture area ratio' = 0.12 mm which is within process capability for this design.
https://neurosymbols.ai/ontology/causal-terminology.owl#ApertureAreaRatioObs,aperture area ratio obs,https://neurosymbols.ai/ontology/causal-terminology.owl#ParameterObservation,ParameterObservation,"Observed measurement of 'aperture area ratio obs' recorded during manufacturing or inspection (e.g., inline AOI or IPC measurement).",Example: Inline inspection recorded 'aperture area ratio obs' = 0.63 for board serial BRD-1001 during print step.
https://neurosymbols.ai/ontology/causal-terminology.owl#ApertureAreaRatioSpec,aperture area ratio spec,https://neurosymbols.ai/ontology/causal-terminology.owl#ParameterSpecification,ParameterSpecification,Specified requirement or acceptable range for 'aperture area ratio spec' used in process control and acceptance criteria.,"Example: Specification: 'aperture area ratio spec' must be between defined limits for a given process (e.g., 0.66–0.80)."
https://neurosymbols.ai/ontology/causal-terminology.owl#ApertureDiameter,aperture diameter,https://neurosymbols.ai/ontology/causal-terminology.owl#ParameterQuality,ParameterQuality,A quality parameter describing 'aperture diameter' as a measurable attribute relevant to solder printing or reflow.,Example: Measured 'aperture diameter' = 0.12 mm which is within process capability for this design.
https://neurosymbols.ai/ontology/causal-terminology.owl#ApertureDiameterObs,aperture diameter obs,https://neurosymbols.ai/ontology/causal-terminology.owl#ParameterObservation,ParameterObservation,"Observed measurement of 'aperture diameter obs' recorded during manufacturing or inspection (e.g., inline AOI or IPC measurement).",Example: Inline inspection recorded 'aperture diameter obs' = 0.63 for board serial BRD-1001 during print step.
https://neurosymbols.ai/ontology/causal-terminology.owl#ApertureDiameterSpec,aperture diameter spec,https://neurosymbols.ai/ontology/causal-terminology.owl#ParameterSpecification,ParameterSpecification,Specified requirement or acceptable range for 'aperture diameter spec' used in process control and acceptance criteria.,"Example: Specification: 'aperture diameter spec' must be between defined limits for a given process (e.g., 0.66–0.80)."
https://neurosymbols.ai/ontology/causal-terminology.owl#ApertureOverfill,ApertureOverfill,https://neurosymbols.ai/ontology/causal-terminology.owl#FailureCause,FailureCause,A causal factor that can lead to defects or process non-conformance related to 'ApertureOverfill' in SMT assembly.,Example: Excess paste volume per aperture observed causing tombstoning of 0402 components in lot L-230.
https://neurosymbols.ai/ontology/causal-terminology.owl#BgaBallDiameter,bga ball diameter,https://neurosymbols.ai/ontology/causal-terminology.owl#ParameterQuality,ParameterQuality,A quality parameter describing 'bga ball diameter' as a measurable attribute relevant to solder printing or reflow.,Example: Measured 'bga ball diameter' = 0.12 mm which is within process capability for this design.
https://neurosymbols.ai/ontology/causal-terminology.owl#BgaBallDiameterObs,bga ball diameter obs,https://neurosymbols.ai/ontology/causal-terminology.owl#ParameterObservation,ParameterObservation,"Observed measurement of 'bga ball diameter obs' recorded during manufacturing or inspection (e.g., inline AOI or IPC measurement).",Example: Inline inspection recorded 'bga ball diameter obs' = 0.63 for board serial BRD-1001 during print step.
https://neurosymbols.ai/ontology/causal-terminology.owl#BgaBallDiameterSpec,bga ball diameter spec,https://neurosymbols.ai/ontology/causal-terminology.owl#ParameterSpecification,ParameterSpecification,Specified requirement or acceptable range for 'bga ball diameter spec' used in process control and acceptance criteria.,"Example: Specification: 'bga ball diameter spec' must be between defined limits for a given process (e.g., 0.66–0.80)."
https://neurosymbols.ai/ontology/causal-terminology.owl#BoardWarpage,board warpage,https://neurosymbols.ai/ontology/causal-terminology.owl#ParameterQuality,ParameterQuality,A quality parameter describing 'board warpage' as a measurable attribute relevant to solder printing or reflow.,Example: Measured 'board warpage' = 0.12 mm which is within process capability for this design.
https://neurosymbols.ai/ontology/causal-terminology.owl#BoardWarpageObs,board warpage obs,https://neurosymbols.ai/ontology/causal-terminology.owl#ParameterObservation,ParameterObservation,"Observed measurement of 'board warpage obs' recorded during manufacturing or inspection (e.g., inline AOI or IPC measurement).",Example: Inline inspection recorded 'board warpage obs' = 0.63 for board serial BRD-1001 during print step.
https://neurosymbols.ai/ontology/causal-terminology.owl#BoardWarpageSpec,board warpage spec,https://neurosymbols.ai/ontology/causal-terminology.owl#ParameterSpecification,ParameterSpecification,Specified requirement or acceptable range for 'board warpage spec' used in process control and acceptance criteria.,"Example: Specification: 'board warpage spec' must be between defined limits for a given process (e.g., 0.66–0.80)."
https://neurosymbols.ai/ontology/causal-terminology.owl#ComponentPlacementProcess,ComponentPlacementProcess,https://spec.industrialontologies.org/ontology/core/Core/ManufacturingProcess,manufacturing process,"A manufacturing process step or activity: 'ComponentPlacementProcess', describing a stage in PCB assembly.",Example: ReflowSolderingProcess applied profile ramp to peak 245°C for 60s time above liquidus.
https://neurosymbols.ai/ontology/causal-terminology.owl#ConformanceAssessment,ConformanceAssessment,http://www.w3.org/ns/prov#Activity,Activity,Definition for 'ConformanceAssessment' within semiconductor manufacturing context.,Example usage of 'ConformanceAssessment' in an SMT process context.
https://neurosymbols.ai/ontology/causal-terminology.owl#CorrectiveAction,CorrectiveAction,https://spec.industrialontologies.org/ontology/core/Core/ActionSpecification,action specification,Specified requirement or acceptable range for 'CorrectiveAction' used in process control and acceptance criteria.,"Example: Specification: 'CorrectiveAction' must be between defined limits for a given process (e.g., 0.66–0.80)."
https://neurosymbols.ai/ontology/causal-terminology.owl#Defect,Defect,http://purl.obolibrary.org/obo/BFO_0000020,specifically dependent continuant,Definition for 'Defect' within semiconductor manufacturing context.,Example usage of 'Defect' in an SMT process context.
https://neurosymbols.ai/ontology/causal-terminology.owl#Effect,Effect,http://purl.obolibrary.org/obo/BFO_0000020,specifically dependent continuant,Definition for 'Effect' within semiconductor manufacturing context.,Example usage of 'Effect' in an SMT process context.
https://neurosymbols.ai/ontology/causal-terminology.owl#ExcessPasteVolumePerAperture,ExcessPasteVolumePerAperture,https://neurosymbols.ai/ontology/causal-terminology.owl#FailureCause,FailureCause,A causal factor that can lead to defects or process non-conformance related to 'ExcessPasteVolumePerAperture' in SMT assembly.,Example: Excess paste volume per aperture observed causing tombstoning of 0402 components in lot L-230.
https://neurosymbols.ai/ontology/causal-terminology.owl#ExcessReflowSpreading,ExcessReflowSpreading,https://neurosymbols.ai/ontology/causal-terminology.owl#FailureCause,FailureCause,A causal factor that can lead to defects or process non-conformance related to 'ExcessReflowSpreading' in SMT assembly.,Example: Excess paste volume per aperture observed causing tombstoning of 0402 components in lot L-230.
https://neurosymbols.ai/ontology/causal-terminology.owl#FailureCause,FailureCause,http://purl.obolibrary.org/obo/BFO_0000020,specifically dependent continuant,Definition for 'FailureCause' within semiconductor manufacturing context.,Example usage of 'FailureCause' in an SMT process context.
https://neurosymbols.ai/ontology/causal-terminology.owl#HighHumidity,HighHumidity,https://neurosymbols.ai/ontology/causal-terminology.owl#FailureCause,FailureCause,A causal factor that can lead to defects or process non-conformance related to 'HighHumidity' in SMT assembly.,Example: Excess paste volume per aperture observed causing tombstoning of 0402 components in lot L-230.
https://neurosymbols.ai/ontology/causal-terminology.owl#IonicContamination,ionic contamination,https://neurosymbols.ai/ontology/causal-terminology.owl#ParameterQuality,ParameterQuality,A quality parameter describing 'ionic contamination' as a measurable attribute relevant to solder printing or reflow.,Example: Measured 'ionic contamination' = 0.12 mm which is within process capability for this design.
https://neurosymbols.ai/ontology/causal-terminology.owl#IonicContaminationObs,ionic contamination obs,https://neurosymbols.ai/ontology/causal-terminology.owl#ParameterObservation,ParameterObservation,"Observed measurement of 'ionic contamination obs' recorded during manufacturing or inspection (e.g., inline AOI or IPC measurement).",Example: Inline inspection recorded 'ionic contamination obs' = 0.63 for board serial BRD-1001 during print step.
