,PCB_ID,batch_id,board_number,Paste volume per aperture,Stencil thickness,Paste viscosity,Ambient RH,Ambient temperature,Peak reflow temperature,Time above liquidus,mech causes,root causes,Defect
0,PCB0,7,0,0.0381856170710253,99.3790377088925,203.3543373422718,44.24195170589406,20.08842581110393,255.50827833632545,62.21490869969038,,low ambient temperature,No Defect
1,PCB1,7,1,0.0404021536335584,102.65220011318866,207.910100626712,47.516789036859066,18.87155801908765,254.02694380828987,63.71636283830521,,low ambient temperature,No Defect
2,PCB2,7,2,0.0382449956628656,99.03449051368317,199.91103217307327,45.342190102575046,19.980172593144367,256.28886780027784,53.40888752578618,,low ambient temperature,No Defect
3,PCB3,7,3,0.0367868497340173,98.74922950917644,222.55411345795017,37.58632689525345,20.84680832416409,255.75200017345009,58.63472176308771,,,No Defect
4,PCB4,7,4,0.040707696670238,104.29800170418144,206.15473891972889,36.95940562156581,22.061710683215143,257.6851292263741,45.42724007782803,non coalescence,low time above liquidus,Open Circuit
5,PCB5,7,5,0.0394488939867571,103.39984134497242,228.05320381589507,36.43853886976689,20.864369842275792,257.8290940071788,64.03870378418029,,,No Defect
6,PCB6,7,6,0.0396091833800194,101.3765379573788,203.2275991020486,44.36457248182694,20.0732367758954,251.62794288443123,71.26720752403713,,low ambient temperature,No Defect
7,PCB7,7,7,0.0402918327669333,104.26201564830072,231.1714746809301,42.07023449109676,19.034887290089408,257.5429657048486,64.83511916370456,,low ambient temperature,No Defect
8,PCB8,7,8,0.0409743110400364,103.61716675270816,196.6982854106716,39.7785150836498,21.823508972552823,257.9225439435784,65.50753799576466,,,No Defect
9,PCB9,7,9,0.0384915025544383,101.02364564689414,211.7610650883001,35.781142873669616,22.04705430890857,256.51111770147526,60.09342913510888,,,No Defect
10,PCB10,7,10,0.0416218022124287,104.04542928108064,189.24792107429448,43.59136000348778,21.16716892822205,252.1937194066695,66.1108324261017,,,No Defect
11,PCB11,7,11,0.041035315268498,101.34827587510068,156.80140738881627,39.6935600218793,24.29649918483294,255.3932114370997,67.39748283341413,,,No Defect
12,PCB12,7,12,0.0397768112685862,102.973369020902,204.0867989579453,31.99922701702262,23.63199166933284,256.69407382054857,61.52571156535909,,,No Defect
13,PCB13,7,13,0.0365478266988317,97.18724638757776,202.15444590501505,39.19676567019348,21.61999539883092,255.9611023789723,63.00385972438915,,,No Defect
14,PCB14,7,14,0.0383823724258817,101.0667085647227,218.7783915352466,36.88253937305412,21.29367023657337,253.87455668545468,59.01499693944066,,,No Defect
15,PCB15,7,15,0.0418031646088665,104.5599941353115,187.638729851411,38.387377892444256,22.78954316492825,252.2379428534453,55.10924665804524,,,No Defect
16,PCB16,7,16,0.0448687094204971,107.50030533967596,169.76823331443802,44.321634283365206,22.17983667721688,256.2475497040196,46.89906185016315,aperture overfill,high stencil thickness,Solder Bridging
17,PCB17,7,17,0.0386906491090718,101.15681144419314,208.65738960597656,35.89043314956309,22.204336642274857,251.71777663593025,55.36276453452816,,,No Defect
18,PCB18,7,18,0.0393091855071038,101.22776408292016,194.8395533277176,37.3467985787274,22.63027377957204,253.2187715617118,70.26791932157077,,,No Defect
19,PCB19,7,19,0.0384236784402238,101.25902775306164,221.74194549805333,39.532953427289264,20.3324677706707,255.50213643201613,65.74633584417725,,,No Defect
20,PCB20,7,20,0.0409237753140204,101.17691032691876,163.27991341236518,45.318517363747546,22.24859152325434,255.11904979470097,62.29096394457044,,,No Defect
21,PCB21,7,21,0.0358950451407862,99.0501229155924,238.58396819940737,30.88834108821137,21.80590740857479,256.59762287911843,62.785001251262656,poor paste transfer,,Open Circuit
22,PCB22,7,22,0.0410568908173836,103.29348663039632,191.26247608648345,40.8411403724654,21.84324606029286,257.69718886209427,58.26872109874608,,,No Defect
23,PCB23,7,23,0.0389330280356427,101.06575266149504,204.6326605703847,39.331089300815485,21.44419095921555,259.63212569124016,46.71372558043671,excess reflow spreading,high peak reflow temperature,Solder Bridging
24,PCB24,7,24,0.0391539766402838,101.08885326401844,199.222514125572,37.190685262956514,22.406695591170568,258.22744522781096,59.3561013475573,,,No Defect
25,PCB25,7,25,0.0388916076901235,103.31971714052256,229.11478526663228,30.44063253824502,22.538715467133592,253.3521191832968,62.85415070193741,,low ambient rh,No Defect
