PCB_ID,ApertureAreaRatio,StencilThickness,ApertureDiameter,PasteVolumePerAperture,PasteRollBeadSize,ResidualPaste,SqueegeePressure,SqueegeeSpeed,SqueegeeAngle,PasteViscosity,TimeAboveLiquidus,AmbientRh,MetalLoad,PeakReflowTemperature,ThermalGradientAcrossBoard,Mechanism Failure Causes,Root Causes,Defect occured,Corrective Actions
PCB1,0.694,0.104,0.35,0.039,3.884,5.334,0.307,61.941,60.422,183.269,67.42,37.389,88.147,258.749,8.852,,,No,
PCB2,0.667,0.098,0.341,0.041,3.601,4.86,0.284,72.264,55.184,170.241,53.19,38.408,87.434,251.85,9.08,,,No,
PCB3,0.682,0.1,0.347,0.042,4.094,5.324,0.32,72.66,60.512,214.699,71.86,35.349,88.487,257.711,8.977,,,No,
PCB4,0.699,0.104,0.334,0.044,4.068,5.444,0.29,77.482,57.555,218.554,46.08,30.743,89.995,259.705,8.327,,,No,
PCB5,0.663,0.102,0.328,0.045,3.894,5.012,0.32,65.204,64.545,199.561,63.77,60.444,88.889,259.716,9.211,"Post print spread, Excess Paste volume per aperture",High humidity,Solder Bridging,Dehumidify/condition cell; maintain RH control
PCB6,0.675,0.097,0.348,0.039,3.962,5.446,0.326,74.678,64.761,166.675,59.25,43.589,89.534,250.919,11.962,,,No,
PCB7,0.668,0.096,0.348,0.041,3.628,4.984,0.321,69.373,62.089,158.176,74.66,32.798,89.081,257.245,8.277,,,No,
PCB8,0.69,0.099,0.344,0.04,4.234,5.418,0.286,71.936,56.891,220.643,49.34,35.299,88.543,255.081,8.377,,,No,
PCB9,0.636,0.104,0.345,0.047,4.101,5.146,0.41,79.105,60,235.395,68.02,45.868,88.854,259.303,8.554,"Excess Paste volume per aperture, Aperture Overfill, Underside smear","Low area ratio, Squeegee Pressure too high",Solder Bridging,"Redesign apertures; electropolish; nano-coating; consider foil change, Use thinner foil/step-down; reduce aperture size; apply nano-coating"
PCB10,0.689,0.095,0.329,0.039,4.096,4.537,0.283,73.287,57.661,227.84,57.11,33.22,89.061,256.032,8.739,,,No,
PCB11,0.667,0.104,0.338,0.037,4.194,5.334,0.324,74.163,60.035,152.278,70.93,44.721,89.39,253.911,11.471,,,No,
PCB12,0.692,0.096,0.35,0.043,4.226,4.506,0.289,70.158,57.485,249.612,61.48,32.733,88.684,256.158,9.392,,,No,
PCB13,0.674,0.096,0.36,0.041,4.166,4.655,0.32,76.733,59.757,159.339,52.77,42.854,89.246,255.959,8.957,,,No,
PCB14,0.661,0.106,0.357,0.047,3.622,4.81,0.285,74.537,57.497,149.88,45.63,36.037,70.509,253.567,9.908,"Post print spread, Excess Paste volume per aperture, Aperture Overfill","Low Metal content in paste, Stencil Thickness too high, low paste viscosity",Solder bridging,"Replace solder paste batch with verified metal loading (≥88 wt%). Verify storage and handling conditions. , Use thinner foil/step-down; reduce aperture size; apply nano-coating"
PCB15,0.699,0.097,0.342,0.042,3.608,5.075,0.281,74.628,55.1,243.527,73.54,43.404,89.053,259.462,8.478,,,No,
PCB16,0.668,0.101,0.322,0.041,4.171,4.72,0.315,68.765,62.854,167.827,66.29,37.057,89.247,252.855,11.23,,,No,
