class_label,parent_label,skos:definition,skos:example,preferred_units,test_method,range_min,range_max,normative_reference,normative_notes
aperture area ratio,ParameterQuality,"Dimensionless ratio used for stencil release in solder paste printing, defined as aperture open area divided by aperture wall area: AAR = (L×W) / (2×(L+W)×T), where L and W are aperture length and width, and T is stencil thickness.","For a 0.30 mm × 0.15 mm aperture in a 0.075 mm stencil: AAR = (0.30×0.15)/(2×(0.30+0.15)×0.075) = 0.67, which meets the typical ≥0.66 guideline.",ratio (unitless),Calculated from geometry: (L×W)/(2×(L+W)×T),,,IPC-7525 (Stencil Design Guidelines),Typical acceptability ≥ 0.66
aperture area ratio obs,ParameterObservation,"A recorded calculation of the aperture area ratio for a specific stencil aperture, based on measured or design L, W, and T values.","Job ABC: L=0.30 mm, W=0.15 mm, T=0.075 mm → AAR=0.67 (accepted).",ratio (unitless),CAD/measurement + calculation,,,IPC-7525 (Stencil Design Guidelines),
aperture area ratio spec,ParameterSpecification,A requirement specifying the acceptable minimum aperture area ratio for a given design and stencil technology.,"Spec: AAR ≥ 0.66 for laser-cut, electropolished stainless steel stencils.",ratio (unitless),Design rule check,0.66,,IPC-7525 (Stencil Design Guidelines),
aperture diameter,ParameterQuality,"Diameter of a circular stencil aperture used to deposit solder paste onto a circular pad (e.g., BGA land).",A 0.23 mm diameter circular aperture is used for a 0.40 mm pitch BGA land.,mm,Optical microscope or vision metrology,,,IPC-7525 (Stencil Design Guidelines),
aperture diameter obs,ParameterObservation,A measured value of a specific circular stencil aperture diameter.,Measured with optical microscope: aperture diameter = 0.228 mm.,mm,Optical microscope or vision metrology,,,IPC-7525 (Stencil Design Guidelines),
aperture diameter spec,ParameterSpecification,The required nominal diameter and tolerance for a circular stencil aperture.,Spec: 0.23 ± 0.02 mm for BGA paste apertures.,mm,Stencil fab drawing/spec,0.21,0.25,IPC-7525 (Stencil Design Guidelines),Example spec 0.23 ± 0.02 mm
ApertureOverfill,FailureCause,"Paste over-deposit caused by an aperture that effectively prints beyond the intended pad area—due to oversize aperture/overprint, stencil misalignment, or excessive under-stencil paste—increasing risk of bridging or solder beads.",0201 capacitor pads printed with a +10% overprint produce paste spreading into the mask dam and intermittent bridges.,N/A,SPI/AOI observation; print inspection,,,IPC-7525 (Stencil Design Guidelines),
bga ball diameter,ParameterQuality,Nominal diameter of a solder ball on a BGA package prior to reflow.,Package uses 0.30 mm balls on a 0.50 mm pitch BGA.,mm,Optical measurement; datasheet reference,,,IPC-7095 (BGA Design & Assembly),
bga ball diameter obs,ParameterObservation,A measured diameter of solder balls on a specific BGA component.,X-ray/optical measurement: ball diameter = 0.296–0.302 mm.,mm,Optical measurement,,,IPC-7095 (BGA Design & Assembly),
bga ball diameter spec,ParameterSpecification,The required nominal diameter and tolerance for BGA solder balls.,Spec: 0.30 ± 0.02 mm diameter per component datasheet.,mm,Component datasheet,0.28,0.32,IPC-7095 (BGA Design & Assembly),Example spec 0.30 ± 0.02 mm
board warpage,ParameterQuality,"Out-of-plane deformation (bow and/or twist) of a bare or assembled PCB, usually expressed as a percentage of the board length/diagonal.",A 200 mm PCB with 0.8 mm maximum bow has 0.4% warpage.,% of length/diagonal,Per fixture method,,,IPC-TM-650 2.4.22 (Bow and Twist); IPC-6012 (Qualification and Performance),
board warpage obs,ParameterObservation,A recorded measurement of PCB bow/twist for a specific board at a stated temperature/fixturing.,"Room temperature, supported at corners: warpage = 0.38%.",% of length/diagonal,Measure per IPC-TM-650 2.4.22 at stated temp,,,IPC-TM-650 2.4.22 (Bow and Twist); IPC-6012 (Qualification and Performance),
board warpage spec,ParameterSpecification,"The allowable PCB warpage under defined conditions (e.g., room temperature and at reflow temperature).",Spec: ≤0.75% bare board at 23 °C; ≤0.50% at reflow temperature.,% of length/diagonal,Per IPC-TM-650 2.4.22,,0.75,IPC-TM-650 2.4.22 (Bow and Twist); IPC-6012 (Qualification and Performance),"Typical ≤0.75% RT; tighter at reflow e.g., ≤0.50%"
