Product,Out Of Compliance
PCB1,StencilThickness
PCB2,StencilThickness
,SqueegeePressure
PCB3,StencilThickness
,SqueegeePressure
PCB4,SqueegeePressure
PCB5,PasteVolumePerAperture
PCB6,ResidualPasteAllowed
PCB7,No spec out of compliance
PCB8,No spec out of compliance
PCB9,No spec out of compliance
PCB10,SqueegeeSpeed
,SqueegeeAngle
PCB11,SqueegeeAngle
PCB12,No spec out of compliance
PCB13,No spec out of compliance
PCB14,No spec out of compliance
PCB15,No spec out of compliance
PCB16,PasteVolumePerAperture
PCB17,No spec out of compliance
PCB18,No spec out of compliance
PCB19,No spec out of compliance
PCB20,No spec out of compliance
