,PCB_ID,TP,TN,FP,FN
0,PCB53,0,0,1,0
1,PCB111,2,0,0,0
2,PCB168,1,0,0,0
3,PCB206,0,1,0,0
4,PCB261,1,0,0,0
5,PCB363,1,0,0,0
6,PCB457,1,0,0,0
7,PCB557,2,0,0,0
8,PCB572,1,0,0,0
9,PCB716,1,0,0,0
10,PCB755,1,0,0,0
11,PCB793,1,0,0,1
12,PCB849,2,0,0,0
13,PCB1008,2,0,0,0
14,PCB1071,1,0,0,0
15,PCB1239,1,0,0,0
16,PCB1242,1,0,0,0
17,PCB1248,1,0,0,0
18,PCB1249,0,0,0,1
19,PCB1298,0,0,0,1
20,PCB1405,1,0,0,0
21,PCB1433,1,0,0,0
22,PCB1443,2,0,1,0
23,PCB1622,1,0,0,0
24,PCB1623,0,1,0,0
25,PCB1745,1,0,0,0
26,PCB1806,2,0,0,0
27,PCB1977,2,0,0,0
28,PCB2147,1,0,0,0
29,PCB2238,1,0,0,0
30,PCB2280,2,0,0,0
31,PCB2293,1,0,0,0
32,PCB2419,1,0,0,0
33,PCB2447,2,0,0,0
34,PCB2598,0,0,0,1
35,PCB2699,1,0,0,0
36,PCB2816,1,0,0,0
37,PCB2906,0,0,1,0
38,PCB2952,1,0,0,0
39,PCB2958,0,0,0,1
40,PCB2960,1,0,0,0
41,PCB3074,1,0,0,0
42,PCB3198,1,0,0,0
43,PCB3279,1,0,0,0
44,PCB3333,1,0,0,0
45,PCB3374,1,0,0,0
46,PCB3474,0,0,0,1
47,PCB3519,1,0,0,0
48,PCB3532,1,0,0,0
49,PCB3537,1,0,0,1
50,PCB3700,1,0,0,0
51,PCB3702,1,0,0,0
52,PCB3744,1,0,0,0
53,PCB3790,1,0,0,0
54,PCB3908,2,0,0,0
55,PCB3955,0,1,0,0
56,PCB3974,1,0,0,0
57,PCB4002,1,0,0,0
58,PCB4090,2,0,0,0
59,PCB4151,1,0,0,0
60,PCB4182,1,0,0,0
61,PCB4215,1,0,0,0
62,PCB4220,0,0,0,1
63,PCB4285,1,0,0,0
64,PCB4338,2,0,0,0
65,PCB4441,2,0,0,0
66,PCB4478,0,0,0,1
67,PCB4581,1,0,0,0
68,PCB4710,2,0,0,0
69,PCB4767,0,1,0,0
70,PCB4829,2,0,0,0
71,PCB4846,1,0,0,0
72,PCB4853,1,0,0,0
73,PCB4926,0,0,0,1
74,PCB4949,2,0,0,0
75,PCB4954,1,0,0,0
