,top-k root cause,root-cause set equivalence,provenance completeness,cycle rate,chain recall,chain precision,sigma recall,min recall,max recall,sigma prec,min prec,max prec
0,97.1%,92.75%,100,No cycles detected in causal chains,89.86%,90.58%,28.97,0.0,100.0,28.58,0.0,100.0
1,89.39%,86.36%,100,No cycles detected in causal chains,87.88%,88.89%,31.46,0.0,100.0,30.89,0.0,100.0
2,96.39%,93.98%,100,No cycles detected in causal chains,91.57%,92.77%,26.68,0.0,100.0,25.9,0.0,100.0
3,93.55%,91.4%,100,No cycles detected in causal chains,89.25%,90.32%,30.1,0.0,100.0,29.57,0.0,100.0
4,89.02%,86.59%,100,No cycles detected in causal chains,86.59%,87.8%,33.17,0.0,100.0,32.72,0.0,100.0
5,97.26%,93.15%,100,No cycles detected in causal chains,87.67%,87.44%,31.82,0.0,100.0,32.15,0.0,100.0
6,91.49%,89.36%,100,No cycles detected in causal chains,88.3%,89.36%,31.31,0.0,100.0,30.83,0.0,100.0
7,91.46%,89.02%,100,No cycles detected in causal chains,86.59%,87.8%,33.17,0.0,100.0,32.72,0.0,100.0
8,95.37%,92.59%,100,No cycles detected in causal chains,91.67%,92.13%,26.79,0.0,100.0,26.49,0.0,100.0
9,93.15%,90.41%,100,No cycles detected in causal chains,90.41%,91.78%,28.26,0.0,100.0,27.47,0.0,100.0
10,91.46%,89.02%,100,No cycles detected in causal chains,87.8%,89.02%,31.78,0.0,100.0,31.26,0.0,100.0
11,95.0%,92.5%,100,No cycles detected in causal chains,90.0%,91.25%,28.94,0.0,100.0,28.26,0.0,100.0
12,91.76%,89.41%,100,No cycles detected in causal chains,88.24%,89.41%,31.29,0.0,100.0,30.77,0.0,100.0
13,96.7%,93.41%,100,No cycles detected in causal chains,92.31%,93.04%,25.6,0.0,100.0,24.96,0.0,100.0
14,90.0%,87.5%,100,No cycles detected in causal chains,86.25%,87.5%,33.52,0.0,100.0,33.07,0.0,100.0
15,90.28%,87.5%,100,No cycles detected in causal chains,86.11%,85.42%,33.56,0.0,100.0,33.9,0.0,100.0
16,93.83%,91.36%,100,No cycles detected in causal chains,88.89%,90.12%,30.43,0.0,100.0,29.83,0.0,100.0
17,93.75%,91.25%,100,No cycles detected in causal chains,88.12%,87.5%,31.86,0.0,100.0,32.11,0.0,100.0
18,93.24%,90.54%,100,No cycles detected in causal chains,89.19%,90.09%,29.94,0.0,100.0,29.37,0.0,100.0
19,92.75%,89.86%,100,No cycles detected in causal chains,89.86%,91.3%,28.97,0.0,100.0,28.18,0.0,100.0
20,100.0%,97.1%,100,No cycles detected in causal chains,97.1%,98.55%,14.46,0.0,100.0,11.95,0.0,100.0
21,90.0%,87.5%,100,No cycles detected in causal chains,87.5%,88.75%,32.11,0.0,100.0,31.6,0.0,100.0
22,91.43%,88.57%,100,No cycles detected in causal chains,81.43%,82.86%,37.96,0.0,100.0,37.69,0.0,100.0
23,91.18%,88.24%,100,No cycles detected in causal chains,86.76%,88.24%,32.78,0.0,100.0,32.22,0.0,100.0
24,90.24%,87.8%,100,No cycles detected in causal chains,86.59%,87.8%,33.17,0.0,100.0,32.72,0.0,100.0
25,91.25%,88.75%,100,No cycles detected in causal chains,88.75%,90.0%,30.59,0.0,100.0,30.0,0.0,100.0
26,93.18%,90.91%,100,No cycles detected in causal chains,85.23%,86.36%,34.67,0.0,100.0,34.32,0.0,100.0
27,91.25%,88.75%,100,No cycles detected in causal chains,87.5%,88.33%,32.11,0.0,100.0,31.67,0.0,100.0
28,89.47%,85.96%,100,No cycles detected in causal chains,85.96%,87.72%,33.45,0.0,100.0,32.82,0.0,100.0
29,89.47%,86.84%,100,No cycles detected in causal chains,85.53%,86.4%,34.24,0.0,100.0,33.85,0.0,100.0
